
Task 15: B (1000): 373 -> 389 = (--416.8), max 9716, ROI = -141.7%

Task 16: C (2000): 359 -> 284 = (+2029.8), max 9716, ROI = 1.5%
Task 16: CC (4000): 359 -> 216 = (+3870.2), max 9716, ROI = -3.2%
Task 16: CCC (6000): 359 -> 175 = (+4979.8), max 9716, ROI = -17.0%
Task 16: CCCC (8000): 359 -> 163 = (+5304.6), max 9716, ROI = -33.7%
Task 16: B (1000): 359 -> 371 = (--324.8), max 9716, ROI = -132.5%

Task 17: C (2000): 418 -> 236 = (+4230.4), max 9716, ROI = 111.5%
Task 17: CC (4000): 418 -> 176 = (+5625.1), max 9716, ROI = 40.6%
Task 17: CCC (6000): 418 -> 124 = (+6833.7), max 9716, ROI = 13.9%
Task 17: CCCC (8000): 418 -> 118 = (+6973.2), max 9716, ROI = -12.8%
Task 17: B (1000): 418 -> 418 = (-0.0), max 9716, ROI = -100.0%

Task 18: C (2000): 399 -> 239 = (+3896.1), max 9716, ROI = 94.8%
Task 18: CC (4000): 399 -> 171 = (+5552.0), max 9716, ROI = 38.8%
Task 18: CCC (6000): 399 -> 153 = (+5990.3), max 9716, ROI = -0.2%
Task 18: CCCC (8000): 399 -> 120 = (+6793.9), max 9716, ROI = -15.1%
Task 18: B (1000): 399 -> 404 = (--121.8), max 9716, ROI = -112.2%

Task 19: C (2000): 340 -> 265 = (+2143.2), max 9716, ROI = 7.2%
Task 19: CC (4000): 340 -> 200 = (+4000.7), max 9716, ROI = 0.0%
Task 19: CCC (6000): 340 -> 173 = (+4772.3), max 9716, ROI = -20.5%
Task 19: CCCC (8000): 340 -> 160 = (+5143.8), max 9716, ROI = -35.7%
Task 19: B (1000): 340 -> 358 = (--514.4), max 9716, ROI = -151.4%

Task 20: CC (4000): 358 -> 195 = (+4423.8), max 9716, ROI = 10.6%
Task 20: C (2000): 358 -> 279 = (+2144.0), max 9716, ROI = 7.2%
Task 20: CCC (6000): 358 -> 161 = (+5346.5), max 9716, ROI = -10.9%
Task 20: CCCC (8000): 358 -> 165 = (+5238.0), max 9716, ROI = -34.5%
Task 20: B (1000): 358 -> 350 = (+217.1), max 9716, ROI = -78.3%

Task 21: C (2000): 1145 -> 756 = (+3814.9), max 11229, ROI = 90.7%
Task 21: CC (4000): 1145 -> 537 = (+5962.6), max 11229, ROI = 49.1%
Task 21: CCC (6000): 1145 -> 466 = (+6658.9), max 11229, ROI = 11.0%
Task 21: CCCC (8000): 1145 -> 443 = (+6884.5), max 11229, ROI = -13.9%
Task 21: B (1000): 1145 -> 1193 = (--470.7), max 11229, ROI = -147.1%

Task 22: C (2000): 630 -> 430 = (+3564.8), max 11229, ROI = 78.2%
Task 22: CC (4000): 630 -> 338 = (+5204.6), max 11229, ROI = 30.1%
Task 22: CCC (6000): 630 -> 301 = (+5864.0), max 11229, ROI = -2.3%
Task 22: CCCC (8000): 630 -> 293 = (+6006.6), max 11229, ROI = -24.9%
Task 22: B (1000): 630 -> 640 = (--178.2), max 11229, ROI = -117.8%

Task 23: C (2000): 1001 -> 660 = (+3825.3), max 11229, ROI = 91.3%
Task 23: CC (4000): 1001 -> 483 = (+5810.8), max 11229, ROI = 45.3%
Task 23: CCC (6000): 1001 -> 368 = (+7100.9), max 11229, ROI = 18.3%
Task 23: CCCC (8000): 1001 -> 321 = (+7628.1), max 11229, ROI = -4.6%
Task 23: B (1000): 1001 -> 1072 = (--796.5), max 11229, ROI = -179.6%

Task 24: C (2000): 1010 -> 609 = (+4458.2), max 11229, ROI = 122.9%
Task 24: CC (4000): 1010 -> 489 = (+5792.4), max 11229, ROI = 44.8%
Task 24: CCC (6000): 1010 -> 374 = (+7070.9), max 11229, ROI = 17.8%
Task 24: CCCC (8000): 1010 -> 304 = (+7849.2), max 11229, ROI = -1.9%
Task 24: B (1000): 1010 -> 1018 = (--88.9), max 11229, ROI = -108.9%

Task 25: C (2000): 635 -> 468 = (+2912.4), max 11074, ROI = 45.6%
Task 25: CC (4000): 635 -> 359 = (+4813.3), max 11074, ROI = 20.3%
Task 25: CCC (6000): 635 -> 304 = (+5772.4), max 11074, ROI = -3.8%
Task 25: CCCC (8000): 635 -> 299 = (+5859.6), max 11074, ROI = -26.8%
Task 25: B (1000): 635 -> 663 = (--488.3), max 11074, ROI = -148.8%

Task 26: C (2000): 944 -> 679 = (+3152.2), max 11229, ROI = 57.6%
Task 26: CC (4000): 944 -> 521 = (+5031.6), max 11229, ROI = 25.8%
Task 26: CCC (6000): 944 -> 417 = (+6268.7), max 11229, ROI = 4.5%
Task 26: CCCC (8000): 944 -> 347 = (+7101.4), max 11229, ROI = -11.2%
